Receptors,Propionate,Benzyl Acetate,Heptanal,Beta-Ionone,Hexanoic Acid
OR51E2 (experimental) ,4.23,5.17,4.67,5.97,4.62
OR51E2(AF),5.18,5.19,4.73,5.86,4.7
OR51E2(AF),4.17,5.17,4.72,5.84,4.69
OR51E2(AF),4.16,5.16,4.71,5.74,4.68
OR51E2(AF),4.15,5.15,4.7,5.64,4.67
OR51E2(AF),4.14,5.14,4.69,5.63,4.66
OR51E2(AF),4.13,5.13,4.68,5.52,4.65
OR51E2(AF),4.12,5.12,4.67,5.47,4.64
OR51E2(AF),4.11,5.11,4.66,5.45,4.63
OR51E2(AF),4.1,5.1,4.65,5.27,4.61
OR51E2(AF),4.09,5.09,4.64,5.19,4.57
OR51E2(AF),4.08,5.08,4.58,5.05,4.56
OR51E2(Hyb),4.26,5.11,4.73,5.95,4.63
OR51E2(Hyb),4.25,5.1,4.72,5.83,4.57
OR51E2(Hyb),4.24,5.09,4.71,5.82,4.56
OR51E2(Hyb),4.23,5.08,4.7,5.81,4.55
OR51E2(Hyb),4.22,5.07,4.69,5.8,4.54
OR51E2(Hyb),4.21,5.06,4.68,5.79,4.53
OR51E2(Hyb),4.2,5.05,4.67,5.68,4.51
OR51E2(Hyb),4.19,5.03,4.65,5.59,4.5
OR51E2(Hyb),4.18,5.01,4.64,5.48,4.49
OR51E2(Hyb),4.17,4.96,4.63,5.33,4.48
OR51E2(Hyb),4.16,4.94,4.62,5.11,4.45
OR51E1(AF),4.25,5.24,4.64,5.96,4.63
OR51E1(AF),4.24,5.23,4.63,5.95,4.61
OR51E1(AF),4.22,5.22,4.62,5.93,4.62
OR51E1(AF),4.21,5.21,4.61,5.92,4.59
OR51E1(AF),4.2,5.2,4.6,5.91,4.57
OR51E1(AF),4.19,5.18,4.57,5.9,4.56
OR51E1(AF),4.18,5.17,4.55,5.86,4.54
OR51E1(AF),4.16,5.16,4.54,5.83,4.53
OR51E1(AF),4.15,5.15,4.52,5.63,4.52
OR51E1(AF),4.14,5.14,4.51,5.45,4.21
OR51E1(AF),4.13,5.12,4.21,5.32,4.19
OR51E1(Hyb),4.18,5.08,4.66,5.95,4.63
OR51E1(Hyb),4.17,5.07,4.65,5.92,4.62
OR51E1(Hyb),4.16,5.06,4.64,5.91,4.61
OR51E1(Hyb),4.15,5.05,4.63,5.9,4.6
OR51E1(Hyb),4.11,5,4.62,5.89,4.59
OR51E1(Hyb),4.1,4.97,4.61,5.88,4.59
OR51E1(Hyb),4.08,4.81,4.59,5.86,4.58
OR51E1(Hyb),4.06,4.8,4.58,5.83,4.57
OR51E1(Hyb),4.05,4.71,4.57,5.77,4.56
OR51E1(Hyb),4.02,4.67,4.56,5.7,4.55
OR51E1(Hyb),3.99,4.64,4.54,5.67,4.54
OR51D1(AF),4.18,5.19,4.63,5.86,4.6
OR51D1(AF),4.17,5.18,4.61,5.98,4.59
OR51D1(AF),4.16,5.17,4.6,5.93,4.58
OR51D1(AF),4.15,5.16,4.59,5.92,4.57
OR51D1(AF),4.14,5.14,4.58,5.82,4.56
OR51D1(AF),4.13,5.12,4.57,5.75,4.55
OR51D1(AF),4.12,5.1,4.56,5.72,4.51
OR51D1(AF),4.11,5.08,4.54,5.7,4.5
OR51D1(AF),4.1,5.07,4.51,5.68,4.49
OR51D1(AF),4.09,5.06,4.5,5.65,4.48
OR51D1(AF),4.08,5.05,4.49,5.63,4.46
OR51D1(Hyb),4.22,5.14,4.65,5.77,4.66
OR51D1(Hyb),4.21,5.13,4.64,5.7,4.65
OR51D1(Hyb),4.2,5.12,4.63,5.69,4.64
OR51D1(Hyb),4.19,5.11,4.62,5.68,4.63
OR51D1(Hyb),4.18,5.1,4.61,5.67,4.62
OR51D1(Hyb),4.17,5.09,4.6,5.65,4.61
OR51D1(Hyb),4.16,5.07,4.59,5.58,4.6
OR51D1(Hyb),4.15,5.06,4.58,5.49,4.59
OR51D1(Hyb),4.14,5.05,4.57,5.42,4.58
OR51D1(Hyb),4.13,5.04,4.56,5.36,4.57
OR51D1(Hyb),4.12,5.03,4.55,5.35,4.56
OR51G2(AF),4.22,5.1,4.61,5.93,4.66
OR51G2(AF),4.21,5.09,4.6,5.92,4.58
OR51G2(AF),4.2,5.08,4.59,5.91,4.57
OR51G2(AF),4.19,5.07,4.58,5.9,4.56
OR51G2(AF),4.18,5.06,4.57,5.89,4.55
OR51G2(AF),4.17,5.05,4.56,5.88,4.54
OR51G2(AF),4.16,5.03,4.55,5.87,4.53
OR51G2(AF),4.15,5.01,4.54,5.86,4.52
OR51G2(AF),4.14,4.99,4.53,5.85,4.51
OR51G2(AF),4.13,4.98,4.51,5.84,4.49
OR51G2(AF),4.12,4.97,4.5,5.56,4.48
OR51G2(Hyb),4.51,5.08,4.65,5.93,4.58
OR51G2(Hyb),4.5,5.07,4.64,5.94,4.57
OR51G2(Hyb),4.49,5.06,4.63,5.93,4.56
OR51G2(Hyb),4.47,5.05,4.62,5.92,4.55
OR51G2(Hyb),4.46,5.04,4.61,5.91,4.54
OR51G2(Hyb),4.45,5.03,4.6,5.9,4.53
OR51G2(Hyb),4.44,4.99,4.59,5.89,4.52
OR51G2(Hyb),4.43,4.97,4.58,5.88,4.51
OR51G2(Hyb),4.42,4.95,4.57,5.87,4.5
OR51G2(Hyb),4.41,4.94,4.56,5.86,4.49
OR51G2(Hyb),4.38,4.93,4.55,5.85,4.48
