SMILES,QED,LogP,Molecular_Weight,Topological_Polar_Surface_Area,Number_of_Rotatable_Bonds,RadiusOfGyration
CCCCOC(=O)C(C)OC(=O)CCC,0.4825750418650874,2.0615,216.27699999999993,52.6,7,3.528937412732159
CCCCC(=O)O,0.5820724024360081,1.2612,102.13299999999998,37.3,3,1.9275416475693712
CC(C)CCC(=O)O,0.6064010060918424,1.5072,116.15999999999998,37.3,3,2.1286238501927937
CCCC(C)C(=O)O,0.6064010060918424,1.5072,116.15999999999998,37.3,3,1.9880052785179434
CCC(C)CC(=O)O,0.6064010060918424,1.5072,116.15999999999998,37.3,3,2.181004369068813
CCCCCCCC=CC(=O)O,0.4708037951436774,2.987700000000001,170.25199999999998,37.3,7,3.10584915832554
CC(C)CC(=O)O,0.5668189166571439,1.1171,102.13299999999998,37.3,2,1.787024898133685
CCCCCCCCC(=O)O,0.5783198770575686,2.821600000000001,158.241,37.3,7,3.1409915003024116
CCC(C)CC(=O)O,0.6064010060918424,1.5072,116.15999999999998,37.3,3,2.0893702452609535
CC(C)CCC(=O)O,0.6064010060918424,1.5072,116.15999999999998,37.3,3,2.370733852207226
CCCC(=O)O,0.5434407472889116,0.8711,88.10599999999998,37.3,2,1.892805865866539
CCC(C)C(=O)O,0.5668189166571439,1.1171,102.13299999999998,37.3,2,1.9285935574877737
CC(C(C)O)O,0.4657441488290313,-0.252,90.122,40.46,1,1.6829509737939485
CCCCCCCC(=O)O,0.5811557038471341,2.4315,144.214,37.3,6,2.965576585326963
CCCCCCCC=O,0.3966101918122153,2.5458000000000007,128.215,17.07,6,3.148817243738319
CCCCCCCC(=O)OCC,0.4357325104642842,2.910000000000001,172.26799999999997,26.3,7,3.009137311476013
CCCCCCC(=O)O,0.578064690530289,2.0414,130.187,37.3,5,2.6116877326496684
CCCCCCC=CC(=O)O,0.4737815410419873,2.5976,156.225,37.3,6,2.88683541705379
CCCCCC(C)CCC(=O)O,0.5991030251294894,3.0676000000000014,172.268,37.3,7,3.192110273295102
CCCCCCN,0.5337740881212314,1.5254,101.193,26.02,4,2.4665134706525715
CCCCCCO,0.5339278817039772,1.559,102.177,20.23,4,2.143611849129318
CCCCCCCCS,0.4312954936577326,3.276700000000003,146.299,0.0,6,3.0842723656454876
CCCCCCCCC(=O)O,0.5783198770575686,2.821600000000001,158.241,37.3,7,3.2587148353609297
CCCCCCOC(=O)C,0.4361738106721368,2.1298000000000004,144.214,26.3,5,2.9826172814808474
CCCCCOC(=O)CC,0.4361738106721367,2.1298000000000004,144.21399999999997,26.3,5,2.9057078191856336
CCCCCC(=O)O,0.5668732042121558,1.6513,116.15999999999998,37.3,4,2.220329525785808
CCCCCCOC(=O)C,0.4361738106721368,2.1298000000000004,144.214,26.3,5,2.5643963144567987
CCCCCCCCC=O,0.3943168373689603,2.935900000000001,142.242,17.07,7,2.9223999902931364
CCCCCC(=O)C=C,0.4078623364367737,2.3218000000000005,126.19899999999998,17.07,5,2.6332397261864062
CC(=CCCC(=CCO)C)C,0.6171312932317708,2.671400000000001,154.253,20.23,4,2.9897600163830833
CCCC=CC=O,0.3862877991333781,1.5416,98.14499999999998,17.07,3,2.203706947418688
CCC(=O)[O-],0.4051790062235932,-0.8537000000000001,73.071,40.129999999999995,1,1.5143224544334417
CCCCCCCO,0.5441914935658748,1.9491,116.204,20.23,5,2.7490398944775367
CCCCCCC=O,0.3951230978044112,2.1557000000000004,114.188,17.07,5,2.4624897535196704
CSSC,0.4528402196875039,1.6274,94.204,0.0,1,1.6062231405963263
CCCCCO,0.513281356352027,1.1689,88.14999999999999,20.23,3,2.129958005437972
CCC=O,0.4032599029179279,0.5952999999999999,58.08,17.07,1,1.4120356805133265
CC(C)CCOC(=O)C,0.5422095914375366,1.5956,130.18699999999998,26.3,3,2.4899453344437994
CCC(=O)O,0.4908446664452932,0.481,74.079,37.3,1,1.5499635290455478
CC(=O)[O-],0.3497740223042638,-1.2438,59.044,40.129999999999995,0,1.275357562318669
